Provinsi,Fakor Perceraian - Zina_x,Fakor Perceraian - Mabuk_x,Fakor Perceraian - Madat_x,Fakor Perceraian - Judi_x,Fakor Perceraian - Meninggalkan Salah satu Pihak_x,Fakor Perceraian - Dihukum Penjara_x,Fakor Perceraian - Poligami_x,Fakor Perceraian - Kekerasan Dalam Rumah Tangga_x,Fakor Perceraian - Cacat Badan_x,Fakor Perceraian - Perselisihan dan Pertengkaran Terus Menerus_x,Fakor Perceraian - Kawin Paksa_x,Fakor Perceraian - Murtad_x,Fakor Perceraian - Ekonomi_x,Fakor Perceraian - Lain-lain_x,Fakor Perceraian - Jumlah_x,Fakor Perceraian - Zina_y,Fakor Perceraian - Mabuk_y,Fakor Perceraian - Madat_y,Fakor Perceraian - Judi_y,Fakor Perceraian - Meninggalkan Salah satu Pihak_y,Fakor Perceraian - Dihukum Penjara_y,Fakor Perceraian - Poligami_y,Fakor Perceraian - Kekerasan Dalam Rumah Tangga_y,Fakor Perceraian - Cacat Badan_y,Fakor Perceraian - Perselisihan dan Pertengkaran Terus Menerus_y,Fakor Perceraian - Kawin Paksa_y,Fakor Perceraian - Murtad_y,Fakor Perceraian - Ekonomi_y,Fakor Perceraian - Lain-lain_y,Fakor Perceraian - Jumlah_y,Fakor Perceraian - Zina_x,Fakor Perceraian - Mabuk_x,Fakor Perceraian - Madat_x,Fakor Perceraian - Judi_x,Fakor Perceraian - Meninggalkan Salah satu Pihak_x,Fakor Perceraian - Dihukum Penjara_x,Fakor Perceraian - Poligami_x,Fakor Perceraian - Kekerasan Dalam Rumah Tangga_x,Fakor Perceraian - Cacat Badan_x,Fakor Perceraian - Perselisihan dan Pertengkaran Terus Menerus_x,Fakor Perceraian - Kawin Paksa_x,Fakor Perceraian - Murtad_x,Fakor Perceraian - Ekonomi_x,Fakor Perceraian - Lain-lain_x,Fakor Perceraian - Jumlah_x,Fakor Perceraian - Zina_y,Fakor Perceraian - Mabuk_y,Fakor Perceraian - Madat_y,Fakor Perceraian - Judi_y,Fakor Perceraian - Meninggalkan Salah satu Pihak_y,Fakor Perceraian - Dihukum Penjara_y,Fakor Perceraian - Poligami_y,Fakor Perceraian - Kekerasan Dalam Rumah Tangga_y,Fakor Perceraian - Cacat Badan_y,Fakor Perceraian - Perselisihan dan Pertengkaran Terus Menerus_y,Fakor Perceraian - Kawin Paksa_y,Fakor Perceraian - Murtad_y,Fakor Perceraian - Ekonomi_y,Fakor Perceraian - Lain-lain_y,Fakor Perceraian - Jumlah_y,Fakor Perceraian - Zina,Fakor Perceraian - Mabuk,Fakor Perceraian - Madat,Fakor Perceraian - Judi,Fakor Perceraian - Meninggalkan Salah satu Pihak,Fakor Perceraian - Dihukum Penjara,Fakor Perceraian - Poligami,Fakor Perceraian - Kekerasan Dalam Rumah Tangga,Fakor Perceraian - Cacat Badan,Fakor Perceraian - Perselisihan dan Pertengkaran Terus Menerus,Fakor Perceraian - Kawin Paksa,Fakor Perceraian - Murtad,Fakor Perceraian - Ekonomi,Fakor Perceraian - Lain-lain,Fakor Perceraian - Jumlah,Total Perceraian
DKI Jakarta,30,84.0,10,27.0,2384.0,18,38.0,820,7,5408.0,2,34.0,3118.0,–,11980.0,12,42,19,24,2116,46,36,328,4,9422,3,59,3214,–,15325,5,25,15,16.0,1729.0,31,18,167.0,5,8265.0,3,61.0,1758.0,–,12098,18,55,17,25,1827,56,22,234,7,11029,3,60,2664,–,16017,8,32.0,10,29.0,1716.0,36,35.0,159.0,5,11163.0,1,58.0,2695.0,–,15947.0,84731.0
Jawa Barat,66,430.0,68,241.0,12341.0,64,258.0,1 459,16,29208.0,41,78.0,36701.0,4058,85029.0,30,226,19,239,5084,178,221,748,36,34430,43,173,39988,1233,82648,16,52,11,45.0,1563.0,53,103,125.0,21,17336.0,11,113.0,18054.0,–,37503,16,102,24,86,4066,141,151,323,41,52213,16,306,40603,–,98088,48,124.0,17,157.0,4613.0,155,166.0,397.0,25,55532.0,26,335.0,37295.0,–,98890.0,487684.0
Jawa Tengah,123,155.0,102,129.0,19765.0,61,55.0,402,32,28527.0,266,170.0,21908.0,16,71711.0,109,95,131,115,16743,2334,55,486,104,37146,275,170,24057,1,81821,125,169,27,95.0,12679.0,64,57,294.0,59,32201.0,83,199.0,19703.0,–,65755,29,180,11,131,11184,102,73,259,78,40418,72,188,22784,–,75509,31,199.0,16,131.0,9337.0,102,69.0,245.0,53,40283.0,70,160.0,23334.0,–,74030.0,454599.0
DI Yogyakarta,4,21.0,–,8.0,1274.0,6,2.0,76,8,3446.0,6,12.0,756.0,–,5619.0,12,10,13,7,1266,8,6,54,–,4 221,2,13,627,–,6239,11,19,–,10.0,735.0,9,5,50.0,8,3343.0,6,24.0,1068.0,–,5288,4,26,1,9,762,10,8,65,7,3835,8,26,872,–,5633,2,17.0,1,6.0,619.0,11,3.0,46.0,4,3828.0,3,20.0,787.0,–,5347.0,34613.0
Jawa Timur,811,483.0,47,355.0,12595.0,99,157.0,1 455,343,38109.0,382,199.0,32105.0,418,87558.0,417,329,78,241,11093,201,106,1593,96,43669,359,238,35835,1297,95552,205,144,9,116.0,4416.0,116,92,619.0,39,34822.0,101,239.0,20952.0,–,61870,235,315,31,230,6204,180,117,1354,80,45712,159,206,33412,–,88235,461,388.0,27,307.0,6498.0,205,141.0,1577.0,96,44464.0,178,252.0,34499.0,–,89093.0,518420.0
Banten,3,235.0,129,142.0,1913.0,74,117.0,918,10,6204.0,14,50.0,2148.0,–,11957.0,5,135,28,79,1968,63,278,611,8,9603,8,52,2649,–,15487,22,57,10,40.0,905.0,14,108,250.0,3,6533.0,7,42.0,2410.0,–,10401,7,123,23,77,1067,36,93,361,18,10058,5,79,3721,–,15668,6,84.0,13,87.0,769.0,37,35.0,264.0,7,10708.0,–,86.0,3226.0,–,15322.0,81645.0
Bali,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,2,6,–,–,232,2,1,14,1,869,1,9,74,–,1211,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,1466.0
Nusa Tenggara Barat,6,123.0,4,115.0,1604.0,38,64.0,437,5,4082.0,21,16.0,728.0,20,7263.0,5,131,28,52,1387,76,83,305,6,4013,10,19,571,–,6686,3,41,5,22.0,726.0,11,29,177.0,1,3425.0,1,16.0,398.0,–,4855,5,65,12,29,1566,19,32,280,1,6305,4,48,619,–,8985,2,71.0,9,30.0,1175.0,16,37.0,307.0,4,6482.0,8,45.0,573.0,–,8759.0,44635.0
Nusa Tenggara Timur,2,8.0,–,6.0,186.0,1,1.0,3,1,196.0,17,4.0,12.0,–,437.0,–,6,–,–,169,15,1,7,–,259,–,6,7,–,470,2,6,–,3.0,101.0,2,2,13.0,1,300.0,2,6.0,13.0,–,451,–,9,–,–,91,2,–,10,–,313,–,6,5,–,436,–,8.0,1,2.0,116.0,2,1.0,26.0,1,334.0,–,3.0,3.0,–,497.0,2928.0
Kalimantan Barat,16,23.0,3,39.0,724.0,16,29.0,62,5,3163.0,4,16.0,445.0,2,4547.0,7,41,2,30,561,38,10,57,3,3394,5,18,841,–,5007,10,20,6,22.0,527.0,14,12,41.0,2,3119.0,2,14.0,460.0,–,4249,13,19,8,21,605,44,12,48,2,4069,3,24,356,1,5225,13,35.0,13,38.0,739.0,37,25.0,52.0,4,4221.0,4,26.0,454.0,–,5661.0,30063.0
